date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:27	69/69	---MCZ	200	added ('OK')	text/plain	date:Wed,%2015%20Nov%202017%2012:06:34%20GMT	http://unicaevents.ancorathemes.com/robots.txt		(from )
17:35:27	120082/120082	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2012:06:34%20GMT	http://unicaevents.ancorathemes.com/	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/index.html	(from )
17:35:28	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2015%20Nov%202017%2012:06:35%20GMT	http://unicaevents.ancorathemes.com/xmlrpc.php	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/xmlrpc.php	(from http://unicaevents.ancorathemes.com/)
17:35:28	894/894	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2258e0e4ea-37e%22	http://unicaevents.ancorathemes.com/wp-content/themes/unicaevents/skins/default/images/favicon.ico	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/themes/unicaevents/skins/default/images/favicon.ico	(from http://unicaevents.ancorathemes.com/)
17:35:28	35053/35053	---MCZ	200	added ('OK')	text/css	etag:W/%22566ae1a8-88ed%22	http://unicaevents.ancorathemes.com/wp-content/plugins/essential-grid/public/assets/css/settings.css?ver=2.0.8	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/plugins/essential-grid/public/assets/css/settingsa7f4.css	(from http://unicaevents.ancorathemes.com/)
17:35:29	7870/7870	---MCZ	200	added ('OK')	text/css	etag:W/%2258188f40-1ebe%22	http://unicaevents.ancorathemes.com/wp-content/plugins/instagram-feed/css/sb-instagram.min.css?ver=1.4.8	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/plugins/instagram-feed/css/sb-instagram.minb493.css	(from http://unicaevents.ancorathemes.com/)
17:35:29	29789/29789	---MCZ	200	added ('OK')	text/css	etag:W/%2258e0eb08-745d%22	http://unicaevents.ancorathemes.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.1	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/plugins/revslider/public/assets/css/settingsc225.css	(from http://unicaevents.ancorathemes.com/)
17:35:29	14668/14668	---MCZ	200	added ('OK')	text/css	etag:W/%2258e0eaac-394c%22	http://unicaevents.ancorathemes.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=2.6.14	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout32bb.css	(from http://unicaevents.ancorathemes.com/)
17:35:29	6881/6881	---MCZ	200	added ('OK')	text/css	etag:W/%2258e0eaac-1ae1%22	http://unicaevents.ancorathemes.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=2.6.14	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen32bb.css	(from http://unicaevents.ancorathemes.com/)
17:35:30	53873/53873	---MCZ	200	added ('OK')	text/css	etag:W/%2258e0eaac-d271%22	http://unicaevents.ancorathemes.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=2.6.14	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/plugins/woocommerce/assets/css/woocommerce32bb.css	(from http://unicaevents.ancorathemes.com/)
17:35:31	17117/17117	---MCZ	200	added ('OK')	text/css	etag:W/%2258e0e4ea-42dd%22	http://unicaevents.ancorathemes.com/wp-content/themes/unicaevents/css/fontello/css/fontello.css	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/themes/unicaevents/css/fontello/css/fontello.css	(from http://unicaevents.ancorathemes.com/)
17:35:31	137346/137346	---MCZ	200	added ('OK')	text/css	etag:W/%2258e10455-21882%22	http://unicaevents.ancorathemes.com/wp-content/themes/unicaevents/style.css	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/themes/unicaevents/style.css	(from http://unicaevents.ancorathemes.com/)
17:35:31	73142/73142	---MCZ	200	added ('OK')	text/css	etag:W/%2258e0e4ea-11db6%22	http://unicaevents.ancorathemes.com/wp-content/themes/unicaevents/fw/css/core.animation.css	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/themes/unicaevents/fw/css/core.animation.css	(from http://unicaevents.ancorathemes.com/)
17:35:31	750/750	---MC-	200	added ('OK')	application/rss+xml	etag:%22da5ecdc95dd0a07e6ec569bd1f1f3e4b%22	http://unicaevents.ancorathemes.com/comments/feed/	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/comments/feed/index.html	(from http://unicaevents.ancorathemes.com/)
17:35:32	29288/29288	---MC-	200	added ('OK')	application/rss+xml	etag:%22851a15ba43fe7749b6128f37d7996105%22	http://unicaevents.ancorathemes.com/feed/	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/feed/index.html	(from http://unicaevents.ancorathemes.com/)
17:35:32	106349/106349	---MCZ	200	added ('OK')	text/css	etag:W/%2258e0e4ea-19f6d%22	http://unicaevents.ancorathemes.com/wp-content/themes/unicaevents/shortcodes/theme.shortcodes.css	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/themes/unicaevents/shortcodes/theme.shortcodes.css	(from http://unicaevents.ancorathemes.com/)
17:35:32	130974/130974	---MCZ	200	added ('OK')	text/css	etag:W/%2258e0e4ea-1ff9e%22	http://unicaevents.ancorathemes.com/wp-content/themes/unicaevents/skins/default/skin.css	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/themes/unicaevents/skins/default/skin.css	(from http://unicaevents.ancorathemes.com/)
17:35:32	109/109	---MCZ	200	added ('OK')	text/css	etag:W/%2258e0e4ea-6d%22	http://unicaevents.ancorathemes.com/wp-content/themes/unicaevents/fw/css/custom-style.css	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/themes/unicaevents/fw/css/custom-style.css	(from http://unicaevents.ancorathemes.com/)
17:35:33	63941/63941	---MCZ	200	added ('OK')	text/css	etag:W/%2258e0e4ea-f9c5%22	http://unicaevents.ancorathemes.com/wp-content/themes/unicaevents/css/responsive.css	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/themes/unicaevents/css/responsive.css	(from http://unicaevents.ancorathemes.com/)
17:35:33	5604/5604	---MCZ	200	added ('OK')	text/css	etag:W/%2258e0e4ea-15e4%22	http://unicaevents.ancorathemes.com/wp-content/themes/unicaevents/skins/default/skin.responsive.css	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/themes/unicaevents/skins/default/skin.responsive.css	(from http://unicaevents.ancorathemes.com/)
